main path	classification	rewrite mapping	status	notes
modules/home-manager/firefox/_custom_firefox_addons.json	custom Firefox add-on source list	modules/home/firefox/firefox-addons/firefox-addons.json; modules/home/firefox/firefox-addons/_updater.nix	rewrite validated	Byte-identical add-on source list; updater and addon data are intentionally colocated with the Firefox add-ons component.
modules/home-manager/firefox/_custom_firefox_addons.nix	generated custom Firefox add-ons	modules/home/firefox/firefox-addons/_content.nix	rewrite validated	Byte-identical generated custom add-on definitions.
modules/home-manager/firefox/_firefox.nix	Firefox Home Manager payload	modules/home/firefox/_content.nix	rewrite structural split validated	The managed Firefox profile payload lives in private content and is assembled by the public Firefox broadcast module; Zaphod retains 19 managed extensions.
modules/home-manager/firefox/firefox.nix	flake-input and broadcast wrapper	modules/home/firefox/firefox.nix	rewrite structural split validated	The public module declares Firefox inputs and owns the non-Steam-Deck GUI/home broadcast binding; implementation details live in private content, while the add-on updater is colocated with the add-ons component. Laptop graphical homes retain the managed 19-extension profile while Emerald Echo remains disabled like main.
modules/home-manager/fish/fish.nix	deployment-wrapper adaptation	modules/home/fish/fish.nix; modules/home/fish/_content.nix	main and rewrite validated	All main command wrapper names, Fish plugins, secure-deploy, greeting behavior, and system Fish enablement are represented in the self-gated home-fish broadcast module; deployment target discovery is adapted to explicit broadcast host facts.
modules/home-manager/fish/functions/deck_functions.fish	Steam Deck status and journal helpers	modules/home/fish/_content.nix	rewrite validated	Restored deckStatus and deckLogs under the Steam Deck gate; Emerald Echo evaluates both managed functions.
modules/home-manager/fish/functions/fish_greeting.fish	Fish greeting	modules/home/fish/_content.nix	rewrite validated	Restored the Pi and Steam Deck status calls before the original fortune/cowsay greeting behavior.
modules/home-manager/fish/functions/pi_functions.fish	Pi status and journal helpers	modules/home/fish/_content.nix	rewrite validated	piStatus retains the thermal/service fallbacks and piLogs retains the optional line-count behavior; functions are emitted by the home-fish broadcast module.
modules/home-manager/fish/functions/secure-deploy.fish	guarded Naboo/Nevarro deployment	modules/home/fish/_content.nix	rewrite reviewed	Peer DNS/service checks, target lock, tail target, post-switch validation, and cleanup match main. Lowercase configuration keys, explicit flake path, and sleep inhibition are intentional wrapper adaptations.
modules/home-manager/gdrive/gdrive.nix	wrapper/payload split	modules/home/gdrive/_content.nix	main and rewrite validated	The rewrite retains its host feature gate and passes only the derived token name and SOPS file; evaluated rclone Drive configuration matches main.
modules/home-manager/git/_git.nix	main payload parity	modules/home/git/_content.nix	main and rewrite validated	Evaluated settings match; differing GitHub CLI helper store paths reflect the independently pinned package set.
modules/home-manager/git/git.nix	flake-input wrapper	modules/home/home/_content.nix; flake.nix	rewrite structural review complete	The rewrite declares the gitignore input through the shared Home profile wrapper and uses the home-git broadcast module for Git settings.
modules/home-manager/github-cli/github-cli.nix	wrapper/payload split	modules/home/github-cli/_content.nix	main and rewrite validated	The rewrite imports the exact GitHub CLI credential-helper payload.
modules/home-manager/gpg/gpg.nix	wrapper/payload split	modules/home/gpg/_content.nix	main and rewrite validated	The rewrite retains its personal-user gate and imports the main GPG payload. Effective options match; the package store path differs only because the rewrite pins a different nixpkgs revision.
modules/home-manager/graphical-home/graphical-home.nix	graphical Home Manager aggregator	modules/home/home/home.nix; modules/home/firefox/firefox.nix; modules/home/konsole/konsole.nix	intentional broadcast architecture	Main's aggregate import is replaced by self-gated broadcast modules for core home, Firefox, and Konsole; each retains its own feature gate.
modules/home-manager/home/home.nix	Home Manager aggregate import	modules/home/home/home.nix; modules/home/{atuin,bash,fish,git,github-cli,gpg,mcp,persistence,ssh,starship,steamdeck,tmux,vim}.nix	intentional broadcast architecture	Main contains aggregate imports and common Home Manager defaults. The rewrite decomposes those payloads into self-gated sibling broadcast modules, with home.nix owning only the base managed profile.
modules/home-manager/konsole/konsole.nix	wrapper/payload split	modules/home/konsole/_content.nix	main and rewrite validated	The rewrite retains its GUI/home gate and imports the same Night Owl theme payload; source hashes match.
modules/home-manager/lazyvim/_lazyvim.nix	LazyVim Home Manager payload	modules/home/lazyvim/_content.nix	rewrite ported	Restored all language dependency/runtime flags, the Night Owl plugin/theme configuration, Alejandra, and the parser list; no current host enables the feature for full option evaluation.
modules/home-manager/lazyvim/lazyvim.nix	flake-input wrapper	modules/home/lazyvim/lazyvim.nix	rewrite validated	Same lazyvim input declaration and import-tree-safe private implementation pattern.
modules/home-manager/mcp/mcp-personal.nix	wrapper/payload split	modules/home/mcp/_personal-content.nix	main and rewrite validated	The rewrite retains its explicit personalMcp feature policy; evaluated Zaphod servers match main.
modules/home-manager/mcp/mcp-work.nix	work-profile payload	modules/home/mcp/_work-content.nix; modules/home/mcp/mcp.nix	rewrite validated	Work MCP servers are split into a reusable content payload and applied by the shared MCP broadcast module on WSL; WSL evaluates with the expected work MCP set.
modules/home-manager/mcp/mcp.nix	common MCP payload	modules/home/mcp/_content.nix	main and rewrite validated	Common MCP server definitions are split from personal/work payloads and imported by both personal and WSL work profiles.
modules/home-manager/ssh/ssh.nix	wrapper/payload split	modules/home/ssh/_content.nix	main and rewrite validated	Zaphod’s generated SSH settings now match main exactly; the unintended NixPi base-host block was removed while preserving capitalized aliases.
modules/home-manager/starship/starship.nix	wrapper/payload split	modules/home/starship/_content.nix	main and rewrite validated	The rewrite imports the main payload through its existing Home Manager program wrapper; settings hashes match.
modules/home-manager/syncthing/syncthing.nix	service-model adaptation	modules/services/syncthing/syncthing.nix	main and rewrite validated	The rewrite’s topology-backed service/client implementation is intentional; evaluated Zaphod Home Manager Syncthing settings match main.
modules/home-manager/tmux/tmux.nix	wrapper/payload split	modules/home/tmux/_content.nix	main and rewrite validated	The rewrite imports the exact main tmux payload; `extraConfig` hashes match.
modules/home-manager/vim/vim.nix	wrapper/payload split	modules/home/vim/_content.nix	main and rewrite validated	The rewrite imports the exact main Vim payload for native homes and reuses it from the WSL editor-cli module; generated `extraConfig` hashes match.
modules/home-manager/vscode/_config-data.nix	editor configuration payload	modules/home/vscode/_settings-content.nix; modules/home/vscode/_profiles-content.nix	rewrite output validated	Shared, profile, package, and theme data are represented in focused private content files; active Zaphod profile output matches main exactly.
modules/home-manager/vscode/_package.nix	editor package and secret wrapper	modules/home/vscode/package/_content.nix	rewrite output validated	The themed package, OpenSSH patch, desktop-entry adjustment, and wrapped editor secret exports remain implemented in the private package payload.
modules/home-manager/vscode/_product.nix	editor product metadata	modules/home/vscode/package/_content.nix	rewrite output validated	VS Code/VSCodium binary and URL-handler metadata remain represented by the native package selector.
modules/home-manager/vscode/_profile-data.nix	profile extension and settings data	modules/home/vscode/_extensions-content.nix; modules/home/vscode/_settings-content.nix; modules/home/vscode/_profiles-content.nix	rewrite output validated	Restored the missing Nix profile Python format-on-type setting; active Zaphod profile output now matches main exactly.
modules/home-manager/vscode/_shared-config.nix	shared extensions and user settings	modules/home/vscode/_extensions-content.nix; modules/home/vscode/_settings-content.nix	rewrite output validated	Restored the full themed Nix token-color rules; active Zaphod profile output now matches main exactly; WSL consumes the same shared settings and extension data.
modules/home-manager/vscode/_theme-data.nix	theme settings payload	modules/home/vscode/_settings-content.nix	rewrite output validated	Party Owl, Synthwave Blues, and SynthWave 84 retain their theme settings and Nix syntax customization payloads.
modules/home-manager/vscode/_vscode.nix	content wrapper split	modules/home/vscode/vscode.nix	rewrite structural split validated	Existing native editor/profile implementation is registered directly by the public broadcast module, with focused package, extension, settings, profile, and option payloads in private content files; Zaphod still evaluates a managed vscode program.
modules/home-manager/vscode/openssh-nocheckcfg.patch	OpenSSH permission-check patch	modules/home/vscode/package/assets/openssh-nocheckcfg.patch	rewrite adapted	The same SSHCONF_CHECKPERM change is retained with context adjusted for the newer OpenSSH source layout and colocated with the VSCodium package wrapper.
modules/home-manager/vscode/vscode-wsl.nix	WSL Windows editor synchronization	modules/home/vscode/wsl-vscode/_content.nix	rewrite output validated	Direct Windows-profile rendering is intentional; the WSL payload now reuses shared VSCode settings, snippets, and extension inventories while retaining the managed sync/export path.
modules/home-manager/vscode/vscode.nix	flake-input wrapper	modules/home/vscode/vscode.nix	rewrite structural split validated	Public module now declares VS Code inputs and imports the private implementation.
modules/home-manager/work/sam-home-work.nix	wrapper/payload split	modules/platforms/wsl/wsl-work-home/wsl-work-home.nix; modules/platforms/wsl/wsl-work-home/_content.nix	rewrite validated	WSL work packages, .NET SDK composition, Azure DevOps CLI extension, credential-provider NuGet plugin, and NuGet template are retained in the self-gated WSL work-home broadcast module; package construction lives in the private content file.
modules/home-manager/wsl/sam-home-work-wsl.nix	wrapper/payload split	modules/home/{git,gpg,github-cli,mcp,ssh,vim}.nix; modules/home/vscode/wsl-vscode/_content.nix; modules/platforms/wsl/{wsl-fish,wsl-work-home,nixos-wsl}.nix	rewrite validated	WSL editor profile, work Git/GPG identity, private work secrets, shared Vim payload, and work-home tooling are represented by shared Home Manager broadcast modules plus WSL-only sync/work payloads; Codex work config is colocated under `wsl-work-home/codex`.
modules/hosts/common/_ssh.nix	modules/tooling/deployment/deployment.nix; host users	audited	ported	Public deployment keys are passed as declared host key files rather than descriptor paths.
modules/hosts/common/descriptors/_aarch64.nix	modules/hosts/{naboo,nevarro,nixpi,coruscant,ferrix}/host.nix	intentional broadcast architecture	Explicit Pi outputs replace generated inventory records.
modules/hosts/common/descriptors/_x86.nix	modules/hosts/*/host.nix	intentional broadcast architecture	Explicit host configurations replace generated x86 descriptors.
modules/hosts/common/registration/_x86.nix	modules/hosts/*/host.nix	intentional broadcast architecture	Direct lowercase configuration definitions replace registration builder output.
modules/hosts/common/users/_sam.nix	modules/users/sam/{sam,_content}.nix	audited	ported	Sam account password, keys, groups, UID/GID overrides, and optional autologin are declared by the shared broadcast Sam module.
modules/hosts/hosts.nix	flake.nix; modules/platforms/{rpi,steamdeck}.nix	intentional broadcast architecture	Base inputs are root-local; nixos-hardware is retained as a base input and the obsolete RPi input is intentionally not used with generic kernels.
modules/hosts/laptop/_descriptor-helpers.nix	Laptop descriptor defaults	modules/hosts/{kamino,zaphodbeeblebrox}/host.nix	intentional broadcast architecture	The broadcast hosts state workstation defaults directly instead of building descriptor records.
modules/hosts/laptop/_registration-builder.nix	Laptop output registration	modules/hosts/{kamino,zaphodbeeblebrox}/host.nix	intentional broadcast architecture	Explicit lowercase output registrations replace descriptor-derived configuration and bootstrap outputs.
modules/hosts/laptop/exports.nix	Laptop module exports	modules/hosts/{kamino,zaphodbeeblebrox}/*.nix	intentional broadcast architecture	Host modules are discovered directly by import-tree.
modules/hosts/laptop/kamino/_kamino/filesystem.nix	modules/hosts/kamino/hardware/hardware.nix	audited	ported	Encrypted root and swap UUIDs, ext4 mount flags, ESP masks, and swap device match.
modules/hosts/laptop/kamino/_kamino/hardware.nix	modules/hosts/kamino/hardware/hardware.nix	audited	ported	Kernel modules, PRIME buses, emulation, video drivers, and systemd-boot match.
modules/hosts/laptop/kamino/_kamino/host-data.nix	modules/hosts/kamino/host/host.nix	audited	ported	Workstation roles, deployment facts, and feature set match; containers are represented by explicit Docker and Podman features.
modules/hosts/laptop/kamino/_kamino/network.nix	modules/hosts/kamino/hardware/hardware.nix	audited	ported	NetworkManager is enabled.
modules/hosts/laptop/kamino/_kamino/users/sam.nix	modules/users/sam/{sam,_content}.nix	audited	ported	Sam's account, display-manager login, groups, password secret, and Kamino key match.
modules/hosts/laptop/kamino/exports.nix	modules/hosts/kamino/{hardware,users}.nix	audited	ported	Host-specific modules consolidate the same exported hardware, filesystem, network, and user settings.
modules/hosts/laptop/laptop.nix	modules/hosts/{kamino,zaphodbeeblebrox}/host.nix	intentional broadcast architecture	Direct configurations replace descriptor iteration.
modules/hosts/laptop/zaphodbeeblebrox/_zaphod/disko-config.nix	modules/hosts/zaphodbeeblebrox/disk/_content.nix	audited	ported	GPT, LUKS, Btrfs subvolumes, compression flags, and 35G swapfile match.
modules/hosts/laptop/zaphodbeeblebrox/_zaphod/filesystem.nix	modules/hosts/zaphodbeeblebrox/{hardware,disk}.nix	audited	ported	Restored the explicit secret-backed LUKS UUID binding alongside the Disko configuration.
modules/hosts/laptop/zaphodbeeblebrox/_zaphod/hardware.nix	modules/hosts/zaphodbeeblebrox/hardware/hardware.nix	audited	ported	Zenbook speaker service, initrd, PRIME buses, and boot settings match; the speaker helper script now lives in the private hardware content file.
modules/hosts/laptop/zaphodbeeblebrox/_zaphod/host-data.nix	modules/hosts/zaphodbeeblebrox/host/host.nix	audited	ported	Workstation roles, deployment facts, and feature set match; Determinate trial is an intentional current change.
modules/hosts/laptop/zaphodbeeblebrox/_zaphod/network.nix	modules/hosts/zaphodbeeblebrox/hardware/hardware.nix	audited	ported	NetworkManager is enabled.
modules/hosts/laptop/zaphodbeeblebrox/_zaphod/users/sam.nix	modules/users/sam/{sam,_content}.nix	audited	ported	Sam's account, display-manager login, groups, password secret, and Zaphod key match.
modules/hosts/laptop/zaphodbeeblebrox/exports.nix	modules/hosts/zaphodbeeblebrox/{hardware,disk,users}.nix	audited	ported	Host-specific modules consolidate the same exported hardware, filesystem, network, and user settings.
modules/hosts/rpi/_descriptor-common.nix	Pi output framework	modules/hosts/{naboo,nevarro,nixpi,coruscant,ferrix}/host.nix	intentional broadcast architecture	Explicit host/image/bootstrap configuration definitions replace descriptor-generated output records.
modules/hosts/rpi/_descriptor-helpers.nix	Pi descriptor framework	modules/platforms/rpi/*.nix; modules/hosts/*/host.nix	intentional broadcast architecture	Static/DHCP networking, service roles, and deployment facts are expressed directly through shared platform modules and host facts.
modules/hosts/rpi/_module-builders.nix	Pi base/image framework	modules/platforms/rpi/*.nix; modules/hosts/*/host.nix	intentional broadcast architecture	The common platform module plus explicit SD image definitions replace generated import stacks.
modules/hosts/rpi/_registration-builder.nix	Pi configuration registration	modules/hosts/{naboo,nevarro,nixpi,coruscant,ferrix}/host.nix	intentional broadcast architecture	Explicit lowercase configuration outputs replace descriptor registration while preserving normal, image, and bootstrap variants.
modules/hosts/rpi/_registration-common.nix	Pi descriptor fact helpers	modules/system/host-context/host-context.nix; modules/hosts/*/host.nix	intentional broadcast architecture	Shared host facts and explicit host definitions replace descriptor fact merging.
modules/hosts/rpi/_rpi/_motd.nix	Pi status MOTD	modules/platforms/rpi/rpi-status/rpi-status.nix	rewrite validated	Same status/MOTD behavior and service reporting are provided by the shared Pi status module; the generated MOTD script lives in private content.
modules/hosts/rpi/_rpi/_nix-index.nix	Pi nix-index updater	modules/platforms/rpi/rpi-nix-index/rpi-nix-index.nix	rewrite validated	Same update script, systemd service/timer, alias, and architecture-specific database download; the script derivation lives in private content.
modules/hosts/rpi/_rpi/_system-defaults.nix	Pi platform defaults	modules/platforms/rpi/rpi-base/rpi-base.nix; modules/platforms/rpi/rpi-network/rpi-network.nix	rewrite adapted	Hardware packages, command-not-found policy, SSH accounting, gateway, CMA setting, and evaluated kernel params are retained; generic kernel selection is intentional.
modules/hosts/rpi/_rpi/_user-access.nix	Pi user/device access	modules/platforms/rpi/rpi-base/rpi-base.nix; modules/users/sam/{sam,_content}.nix	rewrite validated	Video access, VCHIQ rules, vcgencmd sudo, and account-specific password/key declarations are retained.
modules/hosts/rpi/_rpi/base.nix	Pi aggregate	modules/platforms/rpi/*.nix	rewrite validated	The common Pi base is split into focused platform modules with equivalent payloads.
modules/hosts/rpi/_rpi/hardware.nix	Pi hardware baseline	modules/platforms/rpi/rpi-base/rpi-base.nix	rewrite adapted	Same essential initrd module names, filesystem, and DHCP defaults; the upstream hardware boundary is retained while the generic cached kernel is intentional.
modules/hosts/rpi/_rpi/service-host.nix	Pi DNS service-host setup	modules/hosts/{naboo,nevarro}/host.nix; modules/platforms/rpi/rpi-network/rpi-network.nix	rewrite validated	Static addresses, resolvers, remote deploy user keys, and DNS-service facts are explicitly represented in host data; common RPi static interface wiring remains in rpi-network.
modules/hosts/rpi/coruscant/_coruscant/host-data.nix	Coruscant host definition	modules/hosts/coruscant/host/host.nix	rewrite validated	Static address and Home Assistant DNS record are retained.
modules/hosts/rpi/exports.nix	modules/platforms/rpi/rpi/rpi.nix; modules/hosts/{naboo,nevarro,nixpi,coruscant,ferrix}/host.nix	intentional broadcast architecture	Import-tree platform and direct host registrations replace RPi library export.
modules/hosts/rpi/ferrix/_ferrix/host-data.nix	Ferrix host definition	modules/hosts/ferrix/host/host.nix; modules/users/sam/{sam,_content}.nix	rewrite validated	Static address, Pi platform facts, and the descriptor-supplied CLI user payload are retained.
modules/hosts/rpi/naboo/_naboo/host-data.nix	Naboo host definition	modules/hosts/naboo/host/host.nix; modules/users/sam/{sam,_content}.nix	rewrite validated	Static network, failover, monitoring, zram, keys, local checkout path, image output, and DHCP/CoreDNS facts are retained.
modules/hosts/rpi/nevarro/_nevarro/host-data.nix	Nevarro host definition	modules/hosts/nevarro/host/host.nix; modules/users/sam/{sam,_content}.nix	rewrite validated	Static network, monitoring, zram, keys, local checkout path, and image output are retained.
modules/hosts/rpi/nixpi/_nixpi/host-data.nix	NixPi host definition	modules/hosts/nixpi/host/host.nix; modules/users/sam/{sam,_content}.nix	rewrite validated	DHCP host, standard/image outputs, bootstrap/image variants, and the descriptor-supplied standard CLI user payload are retained.
modules/hosts/rpi/rpi.nix	Pi family aggregator	modules/platforms/rpi/rpi/rpi.nix; modules/hosts/*/host.nix	intentional broadcast architecture	The generic-kernel Pi platform and individual host output definitions replace the descriptor family registration.
modules/hosts/server/_descriptor-helpers.nix	server descriptor framework	modules/hosts/atlasuponraiden/host/host.nix	intentional broadcast architecture	Explicit Atlas host facts and self-gated services replace generated server descriptor imports.
modules/hosts/server/_registration-builder.nix	server configuration registration	modules/hosts/atlasuponraiden/host/host.nix	intentional broadcast architecture	Explicit Atlas runtime configuration replaces descriptor registration; the unused Atlas bootstrap output was retired.
modules/hosts/server/atlasuponraiden/_atlas/bootstrap.nix	Atlas bootstrap definition		retired	User indicated there is no known reason to keep an Atlas bootstrap output; the rewrite no longer declares `atlasuponraiden-bootstrap`.
modules/hosts/server/atlasuponraiden/_atlas/config.nix	Atlas service configuration	modules/hosts/atlasuponraiden/host/host.nix; modules/hosts/atlasuponraiden/users/users.nix; modules/hosts/atlasuponraiden/services/services.nix; modules/users/sam/{sam,_content}.nix	rewrite validated	Service enablement, Samba settings, Immich location, monitoring targets, and service overrides are retained.
modules/hosts/server/atlasuponraiden/_atlas/disko-config.nix	Atlas disk layout	modules/hosts/atlasuponraiden/disk/_content.nix	rewrite validated	RAID ESP and Btrfs subvolume layout matches main.
modules/hosts/server/atlasuponraiden/_atlas/filesystem.nix	Atlas storage configuration	modules/hosts/atlasuponraiden/storage/storage.nix	rewrite validated	Auto-scrub, RAID media mount, mergerfs package, and all media union mounts match main.
modules/hosts/server/atlasuponraiden/_atlas/hardware.nix	Atlas hardware and boot	modules/hosts/atlasuponraiden/hardware/hardware.nix	rewrite validated	Initrd, kernel modules, systemd-boot mirror, RAID mail, microcode, and NetworkManager payload match.
modules/hosts/server/atlasuponraiden/_atlas/host-data.nix	Atlas host definition	modules/hosts/atlasuponraiden/host/host.nix	rewrite validated	Address, roles, deployment keys, feature/service facts, and local DNS record are retained; the unused bootstrap output was retired.
modules/hosts/server/atlasuponraiden/_atlas/media.nix	Atlas media topology	modules/hosts/atlasuponraiden/host/host.nix	rewrite validated	Media root, DNS resolvers, group GID, and fixed container identities match main.
modules/hosts/server/atlasuponraiden/_atlas/network.nix	Atlas networking	modules/hosts/atlasuponraiden/host/host.nix; modules/hosts/atlasuponraiden/hardware/hardware.nix	rewrite validated	LAN address, DHCP default, and NetworkManager enablement are retained.
modules/hosts/server/atlasuponraiden/_atlas/service-overrides.nix	Atlas service overrides	modules/hosts/atlasuponraiden/services/services.nix	rewrite validated	PostgreSQL shared-memory workaround and Sonos media account are retained.
modules/hosts/server/atlasuponraiden/_atlas/users/sam.nix	Atlas Sam account	modules/users/sam/{sam,_content}.nix	rewrite validated	Groups, password secret, and authorized keys are retained; the display name is explicitly Sam.
modules/hosts/server/atlasuponraiden/exports.nix	modules/hosts/atlasuponraiden/{host,hardware,disk,storage,users,services}.nix	audited	ported	Atlas hardware, filesystem, network, services, user, media, and Syncthing payloads are consolidated in host modules.
modules/hosts/server/exports.nix	modules/hosts/atlasuponraiden/*.nix	intentional broadcast architecture	Direct discovery replaces server registration-library export.
modules/hosts/server/server.nix	modules/hosts/atlasuponraiden/host/host.nix	intentional broadcast architecture	The Atlas configuration is registered directly.
modules/hosts/steamdeck/_descriptor-helpers.nix	Steam Deck host facts	modules/hosts/emeraldecho/host/host.nix	intentional broadcast architecture	Explicit Emerald Echo outputs replace the descriptor record.
modules/hosts/steamdeck/_platform-helpers.nix	Steam Deck platform factory	modules/platforms/steamdeck/*.nix	intentional broadcast architecture	Platform behavior is globally imported and gated by host.platform.
modules/hosts/steamdeck/_platform/decky/decky-plugins.nix	modules/platforms/steamdeck/_steamdeck/decky-plugins/decky-plugins.nix	audited	ported	Declarative plugin staging and seeded-settings bridge match.
modules/hosts/steamdeck/_platform/decky/plugins/xrgaming.nix	modules/platforms/steamdeck/_steamdeck/decky-loader/decky-loader.nix	audited	ported	The same XR udev rules are applied when Decky is enabled.
modules/hosts/steamdeck/_platform/decky/steamdeck-decky.nix	modules/platforms/steamdeck/_steamdeck/decky-loader/decky-loader.nix	audited	ported	Decky compatibility patch, runtime libraries, Python helpers, service environment, and CEF toggle match; the patched package and helper script live in private Decky Loader content.
modules/hosts/steamdeck/_platform/decky/steamdeck-plugins.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/decky-catalog.nix	audited	ported	Plugin catalogue and both DeckWebBrowser setting paths match.
modules/hosts/steamdeck/_platform/steamdeck/disk-configs/steamdeck-dualboot-disk-config.nix	modules/platforms/steamdeck/_steamdeck/boot-modes/dualboot.nix	audited	ported	The dual-boot Btrfs layout is represented as the same explicit runtime mounts for the existing SteamOS-owned GPT.
modules/hosts/steamdeck/_platform/steamdeck/disk-configs/steamdeck-singleboot-disk-config.nix	modules/platforms/steamdeck/_steamdeck/boot-modes/singleboot.nix	audited	ported	Single-boot GPT, ESP, and Btrfs subvolumes match.
modules/hosts/steamdeck/_platform/steamdeck/steamdeck-home.nix	modules/home/steamdeck/_content.nix; modules/users/sam/{sam,_content}.nix	audited	ported	Steam config seed, XR service, Reshade directories, return-to-gaming launcher, and Emerald Echo's Steam Deck account ownership match.
modules/hosts/steamdeck/_platform/steamdeck/steamdeck-hw-config.nix	modules/platforms/steamdeck/_steamdeck/{hardware,boot-modes}; modules/system/plymouth/plymouth.nix	audited	ported	Deck boot, AMD graphics, WirePlumber naming, and boot-mode filesystems live in reusable Steam Deck platform modules; shared GUI Plymouth policy lives in the generic Plymouth module.
modules/hosts/steamdeck/_platform/steamdeck/steamdeck-steam.nix	modules/platforms/steamdeck/_steamdeck/jovian/jovian.nix	audited	ported	Restored Steam CJK font override and hidapi alongside Jovian gaming settings.
modules/hosts/steamdeck/_platform/steamdeck/steamdeck-system.nix	modules/platforms/steamdeck/_steamdeck/jovian/jovian.nix; modules/system/base/base.nix	audited	ported	System packages, desktop/audio baseline, locale, Dvorak console, cleanup policy, and service limits match; installer state version remains unmodified.
modules/hosts/steamdeck/_profiles/base-module.nix	modules/hosts/emeraldecho/host/_host-content.nix; modules/hosts/emeraldecho/host/_content.nix; modules/hosts/emeraldecho/host/host.nix; modules/platforms/steamdeck/_steamdeck/boot-modes	intentional broadcast architecture	Tags and explicit variant modules replace lifecycle/boot-mode factory arguments; boot-mode payloads are platform-gated.
modules/hosts/steamdeck/_profiles/bootstrap-module.nix	modules/hosts/emeraldecho/host/_bootstrap-content.nix	audited	ported	Dual/single bootstrap users, credentials, final targets, and SSH settings match.
modules/hosts/steamdeck/_profiles/home-configuration.nix	modules/hosts/emeraldecho/host/_steamos-library-content.nix	audited	ported	SteamOS-only Deck home configuration retains the same mount reconciliation and package payload.
modules/hosts/steamdeck/_profiles/installer-module.nix	modules/hosts/emeraldecho/host/_installer-content.nix	audited	ported	Installer identity, SSH, Steam/Decky disablement, ISO settings, and safety settings match without overriding stateVersion.
modules/hosts/steamdeck/_profiles/system-module.nix	modules/hosts/emeraldecho/{host,users}.nix	audited	ported	System user, remote builder keys, host packages, Flatpaks, and KDE Connect match.
modules/hosts/steamdeck/_registration-builder.nix	modules/hosts/emeraldecho/host/host.nix	intentional broadcast architecture	Explicit configuration outputs replace generated registration records.
modules/hosts/steamdeck/emeraldecho/_host/host-data.nix	modules/hosts/emeraldecho/host/_host-content.nix	audited	ported	Emerald Echo host roles, platform, deployment keys, and feature facts match.
modules/hosts/steamdeck/emeraldecho/_host/host.nix	modules/hosts/emeraldecho/host/_host-content.nix; modules/hosts/emeraldecho/host/host.nix	audited	ported	Host, package, user, and variant content match.
modules/hosts/steamdeck/emeraldecho/_host/registration.nix	modules/hosts/emeraldecho/host/host.nix	intentional broadcast architecture	Direct lower-case configuration definitions replace registration helper output generation.
